np,distance,SEQ,dir.hor,dir.ver,id
40336748,6.277190346,0.004859287,0,0,var1
33668780,6.327158777,0.004861126,0,0,var1
41338472,6.376921167,0.004854661,0,0,var1
39854944,6.423204739,0.004859991,0,0,var1
35669532,6.475366855,0.0048565,0,0,var1
40804772,6.521512442,0.004856341,0,0,var1
42866924,6.574051288,0.004858355,0,0,var1
40951082,6.624363836,0.004855902,0,0,var1
38420764,6.679360555,0.004858531,0,0,var1
47025230,6.723267872,0.004858006,0,0,var1
40705896,6.777914952,0.004858959,0,0,var1
38918076,6.828969579,0.004852322,0,0,var1
46880612,6.875814501,0.004858045,0,0,var1
37775876,6.926991001,0.004856004,0,0,var1
40566812,6.972319017,0.004857267,0,0,var1
48544774,7.026981421,0.004854422,0,0,var1
42541552,7.07517646,0.004856239,0,0,var1
34584332,7.127643726,0.004856817,0,0,var1
50184416,7.171701592,0.004855533,0,0,var1
42246592,7.220764137,0.004853763,0,0,var1
46086542,7.274643232,0.004854576,0,0,var1
44285054,7.322752717,0.004856499,0,0,var1
49488304,7.374956284,0.004854382,0,0,var1
44654784,7.428173493,0.004858647,0,0,var1
40776580,7.477958339,0.004854624,0,0,var1
51067848,7.522432978,0.004858845,0,0,var1
39850756,7.576989737,0.004859313,0,0,var1
52106142,7.626361446,0.004855135,0,0,var1
44759898,7.674119462,0.004859557,0,0,var1
43840302,7.722891098,0.00486224,0,0,var1
47109926,7.772044485,0.004860982,0,0,var1
54248224,7.823432738,0.004860331,0,0,var1
44706462,7.876586306,0.004863612,0,0,var1
46874088,7.926567258,0.004866719,0,0,var1
51366602,7.974749413,0.004859966,0,0,var1
41925030,8.02205468,0.004867417,0,0,var1
55432162,8.076678779,0.004865403,0,0,var1
44582402,8.121165661,0.004867987,0,0,var1
53823272,8.172331217,0.004870145,0,0,var1
51886500,8.228552379,0.004869078,0,0,var1
50626646,8.27701004,0.004871091,0,0,var1
46610080,8.3258707,0.00486943,0,0,var1
48798544,8.373834861,0.00487774,0,0,var1
56252796,8.42623179,0.004866851,0,0,var1
48822376,8.474713239,0.00487564,0,0,var1
44151504,8.524920168,0.004871212,0,0,var1
59266450,8.571345099,0.004872307,0,0,var1
55366004,8.624706983,0.004874062,0,0,var1
51494942,8.679059944,0.004869136,0,0,var1
55489784,8.729086304,0.004875999,0,0,var1
46161200,8.775587054,0.004868154,0,0,var1
50631124,8.822744982,0.004876948,0,0,var1
55009218,8.874719962,0.004867431,0,0,var1
54028632,8.92002416,0.004875457,0,0,var1
51811218,8.97305254,0.004868829,0,0,var1
65634698,9.026876465,0.004871506,0,0,var1
51195580,9.078987863,0.004871382,0,0,var1
54583690,9.128177382,0.004870464,0,0,var1
51011182,9.175064456,0.004872686,0,0,var1
56471508,9.223910171,0.004871641,0,0,var1
55730734,9.274024657,0.004873678,0,0,var1
55635702,9.328182963,0.004869338,0,0,var1
