np,distance,MRE,dir.hor,dir.ver,id
27958314,5.174821756,0.010488446,0,0,var1
30344272,5.222038988,0.010497446,0,0,var1
35845218,5.27275858,0.010498006,0,0,var1
35464920,5.326417895,0.010498185,0,0,var1
28688930,5.373744139,0.010504128,0,0,var1
34764237,5.423242602,0.010502218,0,0,var1
37357256,5.47578406,0.010505128,0,0,var1
32048020,5.525827784,0.010512869,0,0,var1
33480754,5.574174258,0.010503061,0,0,var1
37265116,5.626705092,0.010511255,0,0,var1
32356692,5.674263983,0.010513952,0,0,var1
38938107,5.72553128,0.010500694,0,0,var1
34620578,5.779355645,0.010524227,0,0,var1
35594994,5.825669149,0.010511517,0,0,var1
33332426,5.873789777,0.010509793,0,0,var1
38873850,5.926605195,0.010524138,0,0,var1
40740024,5.975941775,0.010526479,0,0,var1
31789907,6.027550945,0.010510865,0,0,var1
39521646,6.078834543,0.01052099,0,0,var1
37478096,6.122587842,0.010512608,0,0,var1
34986582,6.175295247,0.010533537,0,0,var1
44357350,6.229101915,0.010525847,0,0,var1
33506546,6.274182335,0.010513706,0,0,var1
34886176,6.318614742,0.01052773,0,0,var1
46230926,6.377378395,0.010524456,0,0,var1
39582040,6.423445916,0.010531242,0,0,var1
26848601,6.467878852,0.010504067,0,0,var1
53735092,6.52116677,0.010530484,0,0,var1
36234430,6.574028183,0.010519656,0,0,var1
46315976,6.625571857,0.010524318,0,0,var1
32536384,6.677856457,0.01050496,0,0,var1
47689597,6.721573709,0.010531432,0,0,var1
38354264,6.774599883,0.010515964,0,0,var1
47962484,6.82880034,0.01052483,0,0,var1
34455956,6.875852713,0.010497153,0,0,var1
44583976,6.922074023,0.010527202,0,0,var1
47825134,6.977726593,0.010511242,0,0,var1
42059239,7.03096643,0.010524625,0,0,var1
37777754,7.075160752,0.010504751,0,0,var1
44531200,7.123859004,0.010514102,0,0,var1
42243032,7.173856173,0.010511168,0,0,var1
50365626,7.226002605,0.010522801,0,0,var1
40994952,7.277483566,0.010501862,0,0,var1
44410609,7.327005456,0.010525883,0,0,var1
45309442,7.373936939,0.01051224,0,0,var1
44270472,7.425952588,0.010514803,0,0,var1
44422366,7.477136285,0.010521095,0,0,var1
44849868,7.520535517,0.01052094,0,0,var1
45743732,7.571488566,0.010523172,0,0,var1
47726199,7.627429334,0.010526876,0,0,var1
51462688,7.674342746,0.010534755,0,0,var1
39891378,7.723783848,0.010531703,0,0,var1
52661982,7.777930042,0.010530238,0,0,var1
47188898,7.824766635,0.010537929,0,0,var1
42039416,7.873626134,0.010546123,0,0,var1
53125815,7.926797582,0.010544721,0,0,var1
51591874,7.974856911,0.01054507,0,0,var1
44670926,8.026466351,0.010549415,0,0,var1
52705074,8.080053921,0.010554996,0,0,var1
48608128,8.126376736,0.010557832,0,0,var1
46365650,8.175779178,0.010552461,0,0,var1
50631801,8.227787796,0.010560678,0,0,var1
52761698,8.275995987,0.010573954,0,0,var1
43971588,8.324043861,0.010536299,0,0,var1
55895874,8.376827586,0.010574329,0,0,var1
48690604,8.424743571,0.010574719,0,0,var1
50001600,8.475202248,0.010552398,0,0,var1
52741823,8.524638933,0.010566542,0,0,var1
47544320,8.573802298,0.010567065,0,0,var1
55610772,8.621725007,0.01056864,0,0,var1
52181934,8.67626389,0.010557186,0,0,var1
48451758,8.722117616,0.010577334,0,0,var1
54945608,8.771828647,0.010552418,0,0,var1
55987761,8.823498622,0.010569869,0,0,var1
47530790,8.874290125,0.010550333,0,0,var1
61100838,8.922809262,0.010572882,0,0,var1
52199976,8.975727536,0.010545812,0,0,var1
53233496,9.027294123,0.010574046,0,0,var1
57019188,9.073907394,0.010554518,0,0,var1
50408409,9.124573644,0.010561544,0,0,var1
56613710,9.176253137,0.010555161,0,0,var1
58680742,9.224468473,0.010571342,0,0,var1
50521728,9.273158812,0.010547433,0,0,var1
54379434,9.326519724,0.010568968,0,0,var1
63446250,9.372742795,0.010560567,0,0,var1
51420354,9.425037152,0.010574111,0,0,var1
61589378,9.478353729,0.01055922,0,0,var1
56293022,9.525381678,0.010565861,0,0,var1
55891345,9.574946799,0.010571392,0,0,var1
54956106,9.628261394,0.010575413,0,0,var1
58620876,9.671039482,0.010568474,0,0,var1
58047170,9.722948931,0.010581004,0,0,var1
58744458,9.776510837,0.010576572,0,0,var1
53811586,9.820920388,0.01058902,0,0,var1
65862975,9.87181631,0.010574694,0,0,var1
62091944,9.929082932,0.01059625,0,0,var1
56496744,9.976170562,0.010591576,0,0,var1
56170578,10.02402974,0.010587728,0,0,var1
62935460,10.07433897,0.010593178,0,0,var1
62570268,10.12592206,0.010609248,0,0,var1
60713859,10.17709832,0.010588346,0,0,var1
57955714,10.22727958,0.01059925,0,0,var1
59019582,10.27346038,0.010614059,0,0,var1
64006912,10.32405919,0.01059372,0,0,var1
64783964,10.37714314,0.010617001,0,0,var1
53648954,10.42587354,0.010603309,0,0,var1
66695839,10.47269961,0.010610412,0,0,var1
61771770,10.5239201,0.010612672,0,0,var1
63051182,10.5768106,0.010624797,0,0,var1
63182462,10.62461842,0.010608621,0,0,var1
64233984,10.67442468,0.010624849,0,0,var1
58278798,10.72476632,0.010623699,0,0,var1
71534401,10.77529855,0.010612635,0,0,var1
61079938,10.82495305,0.01062702,0,0,var1
49072408,10.87170515,0.010617431,0,0,var1
83233118,10.92088036,0.010630708,0,0,var1
60287708,10.9753522,0.010616454,0,0,var1
60487458,11.02636463,0.010637683,0,0,var1
72116515,11.0725367,0.01061315,0,0,var1
63957532,11.12348928,0.010635502,0,0,var1
64138278,11.17699094,0.010625338,0,0,var1
75485208,11.22590607,0.010628857,0,0,var1
57738164,11.27492615,0.010620587,0,0,var1
